number,date,description,location,price,status,notes,parts
146,5/27/2025,"Apt 1A and 1B Backyard remove pavers, new waterproofing, fence reinforcements",7157,"$6,000.00",Invoiced,"$18,000 total, $12,000 was deposited",
147,6/5/2025,Apt 6A A/C Leaking Water,7157,$50.00,Invoiced,,
148,6/25/2025,Apt 2A and 4A A/C Foul Play,7157,$0.00,Invoiced,,
149,6/25/2025,Apt 2A Window Operator Replaced,7157,$100.00,Invoiced,,
150,7/3/2025,Apt 6A A/C Blower Change Out,7157,$50.00,Invoiced,,
151,7/14/2025,Apt 5B Water Heater Replacement,7157,"$1,200.00",Invoiced,,
152,8/3/2025,Apt 5B Stove Replaced,7157,$100.00,Invoiced,,
153,8/18/2025,Laundry Room Ceiling,7157,$250.00,Invoiced,,
154,8/22/2025,Apt 2A replace kitchen waste line,7157,$150.00,Invoiced,,
155,9/17/2025,"Apt 2B Fix Cabinet Hinger & Replace kitchen faucets, add sink stopper",7157,$250.00,Invoiced,,
156,10/15/2025,Repair leaking in elevator mechanic room,7157,$150.00,Invoiced,,
157,11/22/2025,Apt 5A & 5B Renovation upgrade a/c units,7157,"$6,100.00",Invoiced,,
158,12/23/2025,Repair main entrance light & replace garage wall light bulbs,7157,$50.00,Invoiced,,2 pack sink stopper- $30.72- Apt 2A- September
